ようこそ私たちの劇場へ！　天海春香
はじまりの場所　春日未来
光輝く星のように　最上静香
みんなの視線を一人占め♪　伊吹翼
踏み出した夢への一歩　白石紬
音楽で紡ぎ出す世界　桜守歌織
優雅なひととき　四条貴音
ファンシードリーミング　箱崎星梨花
ウォータードリーム　三浦あずさ
清麗高雅なお嬢様　エミリー
きらめきに身を委ねて　宮尾美也	
伝わる思い　我那覇響
シャイニングワールド　ジュリア
笑顔咲かせるマーチング　矢吹可奈
キューティートリック♪　水瀬伊織
あま～い森へようこそ♪　木下ひなた
まばゆいマドモワゼル　二階堂千鶴
秋を彩るエンターテイナー　双海亜美
今日も元気いっぱい！　中谷育
リトルレースクイーン　大神環
星降る聖夜　萩原雪歩
常夏パラダイス！　舞浜歩
ドリーミープラネット　高山紗代子
新春の光に願いを込めて　如月千早
魅惑のエレガントタイム　篠宮可憐
ベースボールガール　永吉昴
うきうきスイートタイム　双海真美
冬も元気いっぱい！　高坂海美
爽やかな風に誘われて　北上麗花
桃色スマイル♪　菊地真
おしゃまな女の子　周防桃子
パワフルガール　福田のり子
きらめきミュージアム　秋月律子
笑顔が咲く季節　島原エレナ
イノセントガーデン　天空橋朋花
カラフルファクトリー　高槻やよい
ロマンティックランド　徳川まつり
ハピ☆パラ！　野々原茜
恋する視線　星井美希
ロコナイズミュージック♪　ロコ
ワクワクを履いていこ♪　横山奈緒
レディーオンザビーチ　馬場このみ
使命を果たす者　望月杏奈
トレンドを先取り♪　所恵美
お気に入りの物語　七尾百合子
船上のセラピスト　北沢志保
はじける夏の味♪　佐竹美奈子
超ビーチバレー［キング］　豊川風花
超ビーチバレー［先輩］　高山紗代子
本の世界で大冒険！　大神環
夢色式部　周防桃子
三姉妹カフェ［ネコ］　宮尾美也
三姉妹カフェ［お客さん］　百瀬莉緒
小悪魔リビングデッド　松田亜利沙
アニマル・パレード♪　木下ひなた
劇場サスペンス［探偵］　白石紬
劇場サスペンス［支配人］　真壁瑞希
フォーチュンガール　天空橋朋花
憧れの大変身　高坂海美
